id,author,type,topic,content,video,videolink,communities,tags,imgname1,imgname2,imgname3,imgname4,color,colorcode
1,SP,pullquote,Spaces to express dissent,"Townhall is a place where you go to dissent - I am one of these people who are quite regular in a lot of these street demonstrations so I am usually there so if there is a call for public demonstration by civil society, or else there is a place called Freedom Park which is also designated space for dissent",no,no,urban poor & homeless,"dissent, demonstration",img-urban-1,img-urban-2,no,no,yellow,#eacb4f
2,KOL,paragraph,Challenges faced by stakeholders,"We partnered for a project that works with adolescent girls in Bangalore schools - there is a big problem where parents of the school-going children were in very dire crisis because livelihoods were lost. There’s an imminent threat that because school is closed, no money, there’s a lot of things that can add up, which could dangerously push somebody towards a dropout - we need to avoid those scenarios. ",no,no,schoolchildren,"online schooling, privatisation, surveillance, technosolutionism",no,,,,pink,#ea62d8
3,KOL,paragraph,Covid-19 technologies,"...looking at contact tracing, for example, or other kinds of like health data management - that as a learning was immense - what was happening tells us more what should we really be looking for in terms of privacy: for example, if we look at a very simple thing like contact tracing, now all of these are technically in violation of many state laws. They do threaten privacy, they do tend to have an overreach on citizen rights in many ways but most governments do have these laws that are about extraordinary times, and pandemics are extraordinary times when they can take these measures. So, that’s kind of an allowed thing, it’s not like there’s anything wrong with that, but the way that it pans out is very problematic. One thing that a lot of people have been worrying about is that it’s very likely that the shifts that we see like this, could lead to an increasing normalisation of surveillance.",no,no,general,"contact tracing, surveillance, technosolutionism",no,,,,pink,#ea62d8
4,SP,,"
Mobility challenges created by the lockdown",The challenges were the difficulties faced in mobility due to the lockdown - there used to be some official vehicles and sometimes even people holding valid passes - BBMP issues certificates but the police won’t always accept it as the police also issues certificates and the police doesn’t issue certificates to everyone so you know there was a command failure at the government level at the administration level with regards to the validity of the certificates.,no,no,general,"police, BBMP, mobility",img-general-1,img-general-2,,,yellow,#eacb4f
5,LP,pullquote,Gaps in government data,We thought somebody in the government would be keeping record of people dying through migration or walking home or hunger but at some point we learned that they were not doing it and that itself was a major shock.,no,no,general,"data, database",img-general-3,,,,orange,#ea7e4f
6,GH,pullquote,Relief efforts,"We worked with around 12,000 families of waste pickers - we gave ration for two months, and after that citizens approached us and asked us to help -approximately 50,000 families got rations for one or two months. Then we specifically worked with identifying people who have comorbidity who are on regular medication for pregnant women or children so we serviced them also. We knew this will happen so we started early. ",no,no,waste pickers,"rations,  food distribution",img-wastepickers-1,,,,purple,#9b42f4
7,LL,pullquote,Relief efforts,"We have a group of around 85 senior citizen domestic workers, and we have adopted a granny initiative so we try to provide some food grains, rations and medical help to them as they are the worst affected now. If you are above 65, you are asked not to come to work and when that happens, you’re left with nothing - you know you have no other skill, you are at an age where you cannot do too much of work and then where will you get to work? ",no,no,domestic workers,"senior citizens, rations, medical help",no,,,,red,#ef1a4c
8,GH,paragraph,Data driven distribution,"One of the things that the community was very happy we were doing was not only because of the food they got, but because we were able to customisation the kind of food we gave to pregnant women, small children, because we had the data. Where we did not have the data we gave people the standard ration. So I think knowing who are in the city what they eat for eg: even regular ration also were customised. People from Orissa and Bengal we gave certain kind of rice and Dal; people from North Karnataka we gave different food and then for people from Rajasthan we gave wheat flour - and people from South we gave a different kind of rice and Dal - we were able to customise to that extent because we knew the population rate. ",no,no,"pregnant women, children","relief efforts, rations, data,  food distribution",img-pregnantwomen-1,,,,purple,#9b42f4
9,HP,,Relief efforts,"The nature of the care chatline has changed over the lockdown, so during the whole time we were providing help for women, especially handholding around abortion and reproductive health questions. We also organised pad distribution because it was becoming tough at some point for people to have access to some basic services.",no,no,women,"reproductive health, menstrual health",no,,,,brown,#512818
10,SDP,,Relief efforts,"During the lockdown, SDP has raised money nearly 20 lakhs through crowdfunding for providing ration kits to sexual minorities and sex workers and we approached some other funders also. We constantly provided three months dry ration kit to across Karnataka, to around 7000 people - female sex workers and sexual minorities are our beneficiaries. ",no,no,"sex workers, sexual minorities","rations, crowdfunding,  food distribution",img-sexworkers-1,,,,green,#7dba47
