id,author,type,topic,content,video,videolink,communities,tags,imgname1,imgname2,imgname3,imgname4,color,colorcode
1,SP,pullquote,Spaces to express dissent,"Townhall is a place where you go to dissent - I am one of these people who are quite regular in a lot of these street demonstrations so I am usually there so if there is a call for public demonstration by civil society, or else there is a place called Freedom Park which is also designated space for dissent",no,no,urban poor & homeless,"dissent, demonstration",img-urban-1,img-urban-2,no,no,yellow,#eacb4f
2,KOL,paragraph,Challenges faced by stakeholders,"We partnered for a project that works with adolescent girls in Bangalore schools - there is a big problem where parents of the school-going children were in very dire crisis because livelihoods were lost. There’s an imminent threat that because school is closed, no money, there’s a lot of things that can add up, which could dangerously push somebody towards a dropout - we need to avoid those scenarios. ",no,no,schoolchildren,"online schooling, privatisation, surveillance, technosolutionism",,,,,,
3,KOL,paragraph,Covid-19 technologies,"...looking at contact tracing, for example, or other kinds of like health data management - that as a learning was immense - what was happening tells us more what should we really be looking for in terms of privacy: for example, if we look at a very simple thing like contact tracing, now all of these are technically in violation of many state laws. They do threaten privacy, they do tend to have an overreach on citizen rights in many ways but most governments do have these laws that are about extraordinary times, and pandemics are extraordinary times when they can take these measures. So, that’s kind of an allowed thing, it’s not like there’s anything wrong with that, but the way that it pans out is very problematic. One thing that a lot of people have been worrying about is that it’s very likely that the shifts that we see like this, could lead to an increasing normalisation of surveillance.",no,no,general,"contact tracing, surveillance, technosolutionism",,,,,,
4,SP,,"
Mobility challenges created by the lockdown",The challenges were the difficulties faced in mobility due to the lockdown - there used to be some official vehicles and sometimes even people holding valid passes - BBMP issues certificates but the police won’t always accept it as the police also issues certificates and the police doesn’t issue certificates to everyone so you know there was a command failure at the government level at the administration level with regards to the validity of the certificates.,no,no,general,"police, BBMP, mobility",img-general-1,img-general-2,,,,
5,LP,pullquote,Gaps in government data,We thought somebody in the government would be keeping record of people dying through migration or walking home or hunger but at some point we learned that they were not doing it and that itself was a major shock.,no,no,general,"data, database",img-general-3,,,,,
6,GH,pullquote,Relief efforts,"We worked with around 12,000 families of waste pickers - we gave ration for two months, and after that citizens approached us and asked us to help -approximately 50,000 families got rations for one or two months. Then we specifically worked with identifying people who have comorbidity who are on regular medication for pregnant women or children so we serviced them also. We knew this will happen so we started early. ",no,no,waste pickers,rations,img-wastepickers-1,,,,,
7,LL,pullquote,Relief efforts,"We have a group of around 85 senior citizen domestic workers, and we have adopted a granny initiative so we try to provide some food grains, rations and medical help to them as they are the worst affected now. If you are above 65, you are asked not to come to work and when that happens, you’re left with nothing - you know you have no other skill, you are at an age where you cannot do too much of work and then where will you get to work? ",no,no,domestic workers,"senior citizens, rations, medical help",,,,,,
8,GH,paragraph,Data driven distribution,"One of the things that the community was very happy we were doing was not only because of the food they got, but because we were able to customisation the kind of food we gave to pregnant women, small children, because we had the data. Where we did not have the data we gave people the standard ration. So I think knowing who are in the city what they eat for eg: even regular ration also were customised. People from Orissa and Bengal we gave certain kind of rice and Dal; people from North Karnataka we gave different food and then for people from Rajasthan we gave wheat flour - and people from South we gave a different kind of rice and Dal - we were able to customise to that extent because we knew the population rate. ",no,no,"pregnant women, children","relief efforts, rations, data",img-pregnantwomen-1,,,,,
9,HP,,Relief efforts,"The nature of the care chatline has changed over the lockdown, so during the whole time we were providing help for women, especially handholding around abortion and reproductive health questions. We also organised pad distribution because it was becoming tough at some point for people to have access to some basic services.",no,no,women,"reproductive health, menstrual health",,,,,,
10,SDP,,Relief efforts,"During the lockdown, SDP has raised money nearly 20 lakhs through crowdfunding for providing ration kits to sexual minorities and sex workers and we approached some other funders also. We constantly provided three months dry ration kit to across Karnataka, to around 7000 people - female sex workers and sexual minorities are our beneficiaries. ",no,no,"sex workers, sexual minorities","rations, crowdfunding",img-sexworkers-1,,,,,
11,SDP,pullquote,Shortcomings of smart city policies,"Smart City, it does not helps our community members, the Smart City concepts makes our community more vulnerable.",no,no,"sex workers, sexual minorities","smart city, exclusion",,,,,,
12,SDP,pullquote,Challenges faced by stakeholders,"The trans communities are not begging because of lockdown and they can't do sex work also, so they suffered a lot.",no,no,"sex workers, sexual minorities","sex work, trans community",,,,,,
13,LL,pullquote,Challenges faced by stakeholders,"It was horrible to see the complete loss of livelihood - for many of them the discrimination that they faced while going to work, plus 50 to 55 year old women who are senior citizens and domestic workers were left out of work or were told not to come back plus 90% of workers did not get their salary for the month of April.",no,no,"domestic workers, senior citizens","financial exclusion, domestic work",,,,,,
14,KOL,paragraph,Covid-19 technologies,"The fact that you have a lot of big tech companies supplementing roles so online education became this huge thing, because of the shift that happened overnight because the circumstances demanded it. You suddenly have this situation where it became so much easier for Microsoft and Google and Byjus and all of these outfits to start pushing that and these have long term impacts -  in that the problem is not online education - certainly not and i’m not an anti technologist or anything like that - it’s about the fact that you end up privatising the solutions.",no,no,schoolchildren,"online schooling, privatisation, surveillance, technosolutionism",,,,,,
15,KOL,pullquote,Shortcomings of smart city policies,"There’s a difference between going after the fads of smart city and actually getting into the task of how do we address, how do we look for a role for data justice. If you think about a smart city it’s a way of integrating technology and democratising it for public good - that’s the intent and it’s not just the fancy techno solutionistic project. I think there are more important things to do, like how do we align the goals of participatory governance with questions of data justice, and like how can technologists play a role in that.",no,no,general,"data justice, technosolutionism",,,,,,
16,KOL,paragraph,Shortcomings of smart city policies,"They become these endeavours of efficiency enhancement like energy grids, and all these fancy street lights that turn on and off or smart water meters -- if you think about Smart cities in the way that they usually get conceived I think that there is a lot of focus on the wrong things and that focus on the wrong things is indicative of who they are meant to serve",no,no,general,"data justice, technosolutionism",,,,,,
17,LF,paragraph,Misinformation around Covid,"This entire social media thing happened where we thought we should do something, and we should share the stories with our partners - we also made sure that because there was a lot of misinformation about Covid, with a certain community being blamed, and a lot of myths around where it comes from. All of this is prevalent not just among communities that are that do not have that kind of education, but also very well educated people, so in our communication and we have been making efforts to share simple posters and videos about Covid to sort of bust that misinformation, so we are using technology for that as well.",no,no,religious community,"discrimination, fake news",img-religiouscommunity-1,img-religiouscommunity-2,,,,
18,LF ,pullquote,Relief efforts,"In a very timely manner, this just happened coincidentally: we launched a telephonic free multilingual queer friendly helpline pan India helpline, which primarily we started for gender sexual minorities. but during the Covid lock down we opened it for anybody who needed help because mental health problems increased and it was a really difficult time.",no,no,sexual minorities,"helpline, mental health",,,,,,
19,LF ,paragraph,"
Mobility challenges created by the lockdown","Some of our CBO partners like the CBO leader and couple of volunteers they were stopped by uniform police officers officials saying that you cannot go and distribute do you have a pass obviously and they’ve not gone for the distribution. For the first time the vehicle has a pass, the vehicle driver knows everything, and they’ve been stopped and told go walking and only one person can go -  even three persons cannot lift a 25 KG bag of rice! We will be taking so many kits for relief operations and believe me, they traumatised them so much. Even today if I ask that person, what’s your lockdown experience -  she will repeat this to me for the 10th time, because it was their risking their lives, their health and they’re not violating any rules, any precautions, or anything like that. In a couple of places, they were detained when they were returning because some of them, only a few of them per talukor per district had Permission so they will travel sometimes 200 km and 46° heat and return by 12. Once an auto was detained after returning from distribution because that auto driver supported our community people, he is at risk and nobody to help, so volunteers had to go all the way go back to the police station to get him released. This happened and in one or two of the cases, a community member was detained at the police station for 3-4 hours a- ll this would happen only when they are returning when it’s done, when it’s dark, and fewer people can come and support.",no,no,sexual minorities,"police harrassment, discrimination",,,,,,
20,LL,,Relief efforts,"Even in the beginning, we said it to the women (domestic workers) also that for the first month or two months, we were only working for the migrants because that was the biggest priority - and this we explained to the women, that is why I am hopeful women understood that although they were also in a similar situation - but I was making this difference between locals and migrants because migrants have also because got that extra vulnerability and insecurity. Also because of the fact that they do not have any identification is with them, which the state makes big noise about so nothing was universal in that sense na? So they had to have Aadhaar card and IDs in order to get rations, so we did that extra work for migrants - you saw the long marches and the entire suffering. And we had a helpline and we had a network of they would  call up and up and keep crying “Aaj khana nahi hai, hum ko pahucha do” (we have no food today, please can you get some food to us).",no,no,"migrants, domestic workers","rations, Aadhaar, ID",img-wastepickers-2,img-migrants-2,,,,
21,SP,,Relief efforts,,,,,,,,,,,
23,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,
